"Old","New","old","new"
"U+8C6B","U+4E88","豫","予"
"U+9918","U+4F59","餘","余"
"U+8207","U+4E0E","與","与"
"U+8B7D","U+8A89","譽","誉"
"U+6416","U+63FA","搖","揺"
"U+6A23","U+69D8","樣","様"
"U+71FF","U+8000","燿","耀"
"U+8B20","U+8B21","謠","謡"
"U+4F86","U+6765","來","来"
"U+840A","U+83B1","萊","莱"
"U+4E82","U+4E71","亂","乱"
"U+89BD","U+89A7","覽","覧"
"U+88E1","U+88CF","裡","裏"
"U+7567","U+7565","畧","略"
"U+7544","U+7559","畄","留"
"U+9F8D","U+7ADC","龍","竜"
"U+5169","U+4E21","兩","両"
"U+51C9","U+6DBC","凉","涼"
"U+7375","U+731F","獵","猟"
"U+7CAE","U+7CE7","粮","糧"
"U+9130","U+96A3","鄰","隣"
"U+6CEA","U+6D99","泪","涙"
"U+52F5","U+52B1","勵","励"
"U+79AE","U+793C","禮","礼"
"U+9748","U+970A","靈","霊"
"U+7075","U+970A","灵","霊"
"U+9F61","U+9F62","齡","齢"
"U+66C6","U+66A6","曆","暦"
"U+6200","U+604B","戀","恋"
"U+7210","U+7089","爐","炉"
"U+52DE","U+52B4","勞","労"
"U+6A13","U+697C","樓","楼"
"U+7C60","U+7BED","籠","篭"
"U+797F","U+7984","祿","禄"
"U+9304","U+9332","錄","録"
"U+4E99","U+4E98","亙","亘"
"U+723C","U+4FCE","爼","俎"
"U+5BC3","U+51A4","寃","冤"
"U+5C05","U+524B","尅","剋"
"U+57D3","U+57D2","埓","埒"
"U+4FAB","U+4F5E","侫","佞"
"U+5AF0","U+5AE9","嫰","嫩"
"U+5C5B","U+5C4F","屛","屏"
"U+5F2F","U+5F4E","弯","彎"
"U+615A","U+6159","慚","慙"
"U+60EE","U+619A","惮","憚"
"U+6C0A","U+6C08","氊","氈"
"U+7B0B","U+7B4D","笋","筍"
"U+7FAE","U+7FB9","羮","羹"
"U+81C8","U+81D8","臈","臘"
"U+87C6","U+87C7","蟆","蟇"
"U+87D2","U+880E","蟒","蠎"
"U+8F12","U+8F19","輒","輙"
"U+9B27","U+9599","鬧","閙"
"U+9AE9","U+9B22","髩","鬢"
"U+9B73","U+9C24","魳","鰤"
"U+9D5E","U+9D5D","鵞","鵝"
"U+9EB8","U+9EA9","麸","麩"
"U+4F07","U+5F79","伇","役"
"U+514A","U+514C","兊","兌"
"U+5344","U+5EFF","卄","廿"
"U+59E6","U+5978","姦","奸"
"U+5C62","U+5C61","屢","屡"
"U+5E77","U+5E76","幷","并"
"U+64CA","U+6483","擊","撃"
"U+7A82","U+7262","窂","牢"
"U+7B6D","U+7B97","筭","算"
"U+9EB4","U+9EB9","麴","麹"
"U+58EC","U+958F","壬","閏"
"U+8597","U+5712","薗","園"
"U+82D1","U+5712","苑","園"
"U+8B0C","U+6B4C","謌","歌"
"U+54E5","U+6B4C","哥","歌"
"U+7C4F","U+65D7","籏","旗"
"U+582F","U+5C2D","堯","尭"
"U+8E5F","U+8DE1","蹟","跡"
"U+8FF9","U+8DE1","迹","跡"
"U+6D8C","U+6E67","涌","湧"
"U+9059","U+9065","遙","遥"
